Model,PR-AUC,ROC-AUC,F2,Recall,Precision,Cost ($)
Random Forest,0.8218314358461963,0.956382301756113,0.8016304347826086,0.7866666666666666,0.8676470588235294,8090.0
LightGBM,0.8024715017840399,0.98756341519152,0.7851239669421488,0.76,0.9047619047619048,9060.0
XGBoost,0.7902769864113942,0.981833693696861,0.782967032967033,0.76,0.890625,9070.0
Logistic Regression,0.7594662989285975,0.9869594107616855,0.7092198581560284,0.8,0.4878048780487805,8130.0
Autoencoder,0.12022061476189994,0.9262064560737369,0.1095890410958904,0.10666666666666667,0.12307692307692308,34070.0
Isolation Forest,0.0431466477728243,0.9488743180925929,0.232419547079857,0.52,0.07235621521335807,23000.0
